Location,House Type,Lifestyle,Previous Customer,Answer
Rural,Terrace,High,No,Yes
Suburban,Detached,High,No,Yes
Urban,Semi-detached,Low,Yes,Yes
Rural,Detached,High,Yes,Yes
Suburban,Detached,High,Yes,Yes
Urban,Detached,High,Yes,Yes
Urban,Detached,Low,No,Yes
Urban,Semi-detached,High,No,Yes
Suburban,Semi-detached,High,No,Yes
Urban,Detached,High,Yes,Yes
Rural,Semi-detached,High,Yes,Yes
Urban,Terrace,High,Yes,Yes
Rural,Semi-detached,Low,Yes,Yes
Urban,Terrace,Low,Yes,Yes
Urban,Detached,High,Yes,Yes
Rural,Detached,Low,Yes,Yes
Suburban,Semi-detached,Low,Yes,Yes
Rural,Semi-detached,Low,No,Yes
Rural,Detached,Low,No,Yes
Rural,Semi-detached,Low,Yes,Yes
Suburban,Semi-detached,High,No,Yes
Suburban,Detached,High,No,Yes
Rural,Detached,Low,Yes,Yes
Suburban,Detached,Low,Yes,Yes
Urban,Semi-detached,High,No,Yes
Suburban,Semi-detached,High,No,Yes
Rural,Detached,High,Yes,Yes
Suburban,Terrace,Low,No,Yes
Urban,Detached,Low,No,Yes
